stat,name,value
alpha,purpose_connection,0.837639223627729
alpha,help_seeking,0.49352662773174405
alpha,beliefs_about_civilians,0.6153618615657663
alpha,resentment_regret,0.6454342794666817
alpha,regimentation,0.6345409874306627
alpha,total,0.8682879735680505
omega,purpose_connection,0.9053047702419024
omega,help_seeking,0.5665792213090141
omega,beliefs_about_civilians,0.6823484655591975
omega,resentment_regret,0.7719714649633118
omega,regimentation,0.7186500648521293
omega,total,0.9322213184426607
omega2,purpose_connection,0.9053047702419024
omega2,help_seeking,0.5665792213090142
omega2,beliefs_about_civilians,0.6823484655591974
omega2,resentment_regret,0.7719714649633118
omega2,regimentation,0.7186500648521293
omega2,total,0.9322213184426604
omega3,purpose_connection,1.523466418730013
omega3,help_seeking,0.6062364269729842
omega3,beliefs_about_civilians,0.7984230796466643
omega3,resentment_regret,1.038157755283986
omega3,regimentation,0.9189913466082227
omega3,total,1.5062112210328198
avevar,purpose_connection,0.6224412095023223
avevar,help_seeking,0.3050380029399289
avevar,beliefs_about_civilians,0.4282604849758297
avevar,resentment_regret,0.5500683181649525
avevar,regimentation,0.36297466636405873
avevar,total,0.4698216183597647
