category,n,perc
Army,74,46.8 %
Navy,41,25.9 %
Air Force,29,18.4 %
Marines,12,7.6 %
Multiple,1,0.6 %
Public Health Service,1,0.6 %
E-1 to E-3,30,19 %
E-4 to E-6,96,60.8 %
E-7 to E-9,14,8.9 %
O-1 to O-3,10,6.3 %
O-4 to O-6,7,4.4 %
W-1 to CW-5,1,0.6 %
Cold War,108,68.4 %
Korea,0,0 %
Multiple eras,99,62.7 %
Persian Gulf (pre-9/11),48,30.4 %
Persian Gulf (post-9/11),47,29.7 %
Post-WWII,0,0 %
Vietnam,63,39.9 %
Service Completed,95,60.1 %
Voluntary Discharge,34,21.5 %
Medical Discharge,22,13.9 %
Other,6,3.8 %
Not yet discharged,1,0.6 %
Prior combat deployment,42,26.6 %
Prior non-combat deployment,74,46.8 %
Prior peacekeeping deployment,24,15.2 %
Supported combat operations,36,22.8 %
Does not recieve VA Disability,116,73.4 %
Recieves VA Disability,42,26.6 %
0 to 4 years of service,71,44.9 %
5 to 9 years of service,57,36.1 %
10 to 15 years of service,10,6.3 %
15 to 20 years of service,1,0.6 %
20+ years of service,19,12 %
0 to 9  years since separation,19,12 %
10 to 19  years since separation,21,13.3 %
20 to 29  years since separation,28,17.7 %
30 to 39  years since separation,32,20.3 %
40 to 49 years since separation,23,14.6 %
50+ years since separation,35,22.2 %
